ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur
ES 0 FRIBG 19930462,,,,,,Crassulaceae,,,,Aeonium simsii (Sweet) Stearn,Multiplication
XX 0 FRIBG 20030249,,,,,,Crassulaceae,,,,Aeonium spathulatum (Hornem.) Praeger,Multiplication
XX 0 GIESS 2005-HO-146,,,,,,Crassulaceae,,,,Aeonium urbicum (Hornem.) Webb. et Berthel.,Serre 1 Canar.
XX 0 PORTY 20001,,,,,,Crassulaceae,,,,Aeonium urbicum (Hornem.) Webb. et Berthel.,Multiplication
XX 0 FRIBG 20160518,,,,,,Orchidaceae,,,,Aerangis articulata (Rechb.f.) Schltr.,Serre 2
XX 0 FRIBG 20160519,,,,,,Orchidaceae,,,,Aerangis articulata (Rechb.f.) Schltr.,Serre 2
XX 0 FRIBG 20160523,,,,,,Orchidaceae,,,,Aerangis biloba (Lindl.) Schltr.,Serre 2
XX 0 FRIBG 20160521,,,,,,Orchidaceae,,,,Aerangis citrata (Thouars) Schltr.,Serre 2
XX 0 FRIBG 20190365,,Division,,,,Orchidaceae,,,,Aerangis kirkii (Rchb.f.) Schltr.,Serre 2
XX 0 FRIBG 20190366,,Division,,,,Orchidaceae,,,,Aerangis mystacidii (Rchb.f.) Schltr.,Serre 2
XX 0 FRIBG 20190364,,Division,,,,Orchidaceae,,,,Aerangis punctata J.Stewart,Serre 2
XX 0 FRIBG 10003135,,,,,,Gesneriaceae,,,,Aeschynanthus fulgens Wall.,Serre 4
XX 0 FRIBG 10000461,,,,,,Gesneriaceae,,,,Aeschynanthus longicaulis R. Br.,Serre 4
XX 0 FRIBG 10003136,,,,,,Gesneriaceae,,,,Aeschynanthus radicans Jack,Serre 4
XX 0 FRIBG 20030358,,,,,,Sapindaceae,,,,Aesculus flava Sol.,Arboretum
XX 0 FRIBG 10000532,,,,,,Sapindaceae,,,,Aesculus hippocastanum L.,Microscopie
XX 0 FRIBG 19990359,,,,,,Sapindaceae,,,,Aesculus hippocastanum L.,Arboretum
XX 0 FRIBG 20000317,,,,,,Sapindaceae,,,,Aesculus parviflora Walter,Arboretum
XX 0 FRIBG 20000317,,,,,,Sapindaceae,,,,Aesculus parviflora Walter,Système 3
XX 0 FRIBG 19950729,,,,,,Sapindaceae,,,,Aesculus x carnea Hayne,Arboretum
XX 0 FRIBG 20170257,,,,,,Brassicaceae,,,,Aethionema grandiflorum Boiss. et Hohen.,Système 3
XX 0 FRIBG 20050471,,,,,,Brassicaceae,,,,Aethionema oppositifolium (Pers.) Hedge,Rocaille 3
IT 0 FRIBG 20010326,,,,,,Brassicaceae,,,,Aethionema saxatile (L.) R. Br.,Alp. calcaire 6
IT 0 FRIBG 20160459,,,,,,Brassicaceae,,,,Aethionema thomasianum J. Gay,Rocaille 3
XX 0 FRIBG 10000013,"Sciboz Jacques, 1998",,,,,Apiaceae,,,13 m,Aethusa cynapium L.,Zone humide
GH 0 BONN 4971,,,,,,Zingiberaceae,,,,Aframomum melegueta K. Schum.,Serre 5
XX 0 FRIBG 19950651,,,,,,Amaryllidaceae,,,,Agapanthus - Headbourne- Hybriden,Géophytes
XX 0 FRIBG 20100505,,,,,,Amaryllidaceae,,,,Agapanthus - Headbourne- Hybriden 'Alba',Géophytes
XX 0 FRIBG 19890369,,Division,Orangerie,,,Amaryllidaceae,,,,Agapanthus africanus (L.) Hoffmanns.,Pl. d'orangerie
XX 0 FRIBG 19890363,,Division,Orangerie,,,Amaryllidaceae,,,,Agapanthus africanus (L.) Hoffmanns.,Pl. d'orangerie
XX 0 FRIBG 19890577,,Division,Orangerie,,,Amaryllidaceae,,,,Agapanthus campanulatus F.M. Leight.,Géophytes
XX 0 FRIBG 19890574,,,Orangerie,,,Amaryllidaceae,,,,Agapanthus inapertus P. Beauvais subsp. intermedius,Pl. d'orangerie
XX 0 FRIBG 19940389,,,Orangerie,,,Amaryllidaceae,,,,Agapanthus nutans Leight.,Géophytes
XX 0 FRIBG 10000535,,Division,Orangerie,,,Amaryllidaceae,,,,Agapanthus praecox subsp. orientalis (Leight.) Leight.,Pl. d'orangerie
XX 0 FRIBG 10000535,,Division,Orangerie,,,Amaryllidaceae,,,,Agapanthus praecox subsp. orientalis (Leight.) Leight.,Pl. d'orangerie
XX 0 DUSS 6337,,,,,,Lamiaceae,,,,Agastache aurantiaca (A. Gray) Lint & Epling,Système 1
XX 0 JENA 7000429,,,,,,Lamiaceae,,,,Agastache rugosa (Fisch. et C.A. Mey.) Kuntze,Système 1
XX 0 FRIBG 10000542,,,,,,Asparagaceae,,,,Agave sisalana Perrine,Pl. d'orangerie
XX 0 FRIBG 20120340,,,,,,Asparagaceae,,,,Agave sp.,Serre 1 Am.
XX 0 FRIBG 10000014,"Sciboz J., 2005",,,,,Asteraceae,,,,Ageratina altissima (L.) R.M. King et H. Rob.,Système 1
XX 0 FRIBG 10000545,,,,,,Asteraceae,,,07 s,Ageratum houstonianum Mill.,Système 1
XX 0 FRIBG 10003137,,Division,,,,Araceae,,,,Aglaonema commutatum var. commutatum Nicolson 'Treubii',Serre 4
XX 0 FRIBG 10003138,,Division,,,,Araceae,,,,Aglaonema modestum Schott,Serre 4
CH 0 FRIBG 20140019,Sciboz J.,,,,,Rosaceae,,,,Agrimonia eupatoria L.,Système 2
XX 0 FRIBG 10000002,,,,,,Rosaceae,,,,Agrimonia eupatoria L.,Médicinal
XX 0 FRIBG 10000546,,,,,,Rosaceae,,,,Agrimonia procera Wallr.,Système 2
XX 0 FRIBG 10000547,,,,,,Poaceae,,,,Agropyron repens P.Beauv.,Médicinal
XX 0 FRIBG 10000083,,,,,,Caryophyllaceae,,,16,Agrostemma githago L.,Système 3
XX 0 FRIBG 20160222,,,,,,Poaceae,,,,Agrostis capillaris L.,Système 4
ES 0 FRIBG 19920611,,,,,,Crassulaceae,,,,Aichryson laxum (Haw.) Bramwell,Serre 1 Canar.
AT 0 FRIBG 20070311,,,,,,Lamiaceae,,,,Ajuga pyramidalis L.,Alp. siliceux
XX 0 FRIBG 10000551,,,,,,Lamiaceae,,,,Ajuga reptans L.,Système 1
XX 0 FRIBG 20031110,,,,,,Lardizabalaceae,,,,Akebia quinata (Houtt.) Decne.,Pavillon vert
XX 0 FRIBG 20140517,,,,,,Lardizabalaceae,,,,Akebia quinata (Houtt.) Decne.,Système 3
XX 0 FRIBG 19990340,,,,,,Lardizabalaceae,,,,Akebia trifoliata (Thunb.) Koidz.,Entrée AMI
XX 0 FRIBG 19980485,,,,,,Fabaceae,,,,Albizia julibrissin Durazz.,Système 2
XX 0 FRIBG 20000183,,,Orangerie,,,Asparagaceae,,,,Albuca bracteata (Thunb.) J.C. Manning & Goldblatt,Géophytes
XX 0 FRIBG 20120333,,,Orangerie,,,Asparagaceae,,,,Albuca bracteata (Thunb.) J.C. Manning & Goldblatt,Serre 1 S-Afr.
XX 0 FRIBG 10000555,,,,,,Malvaceae,,,16 s,Alcea rosea L.,Système 3
CH 0 FRIBG 19910915,,,,,,Rosaceae,,,,Alchemilla alpina aggr.,Alp. siliceux
XX 0 FRIBG 10002775,,,,,,Rosaceae,,,,Alchemilla conjuncta aggr.,Alp. calcaire 3
XX 0 FRIBG 10002953,,,,,,Rosaceae,,,,Alchemilla conjuncta aggr.,Système 2
CH 0 FRIBG 20070356,,,,,,Rosaceae,,,,Alchemilla conjuncta aggr.,Médicinal
XX 0 FRIBG 20170195,,,,,,Rosaceae,,,,Alchemilla erythropoda Juz.,Système 2
XX 0 FRIBG 10000556,,,,,,Rosaceae,,,,Alchemilla fissa Günther et Schummel,Alp. calcaire 2
XX 0 FRIBG 10000557,,,,,,Rosaceae,,,,Alchemilla hybrida aggr.,Système 2
XX 0 FRIBG 10000558,,,,,,Rosaceae,,,,Alchemilla mollis (Buser) Rothm.,Système 2
CH 0 FRIBG 20040669,"Kozlowski Gregor, 2004",,,,,Rosaceae,,,,Alchemilla plicatula aggr.,Alp. calcaire 5
XX 0 FRIBG 20070097,,,,,,Rosaceae,,,,Alchemilla vulgaris aggr. sensu Heitz,Médicinal
XX 0 FRIBG 10000562,,,,,,Alismataceae,,,,Alisma plantago-aquatica L.,Pl. aquatiques
