ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
933635,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,,Asplenium adiantum-nigrum,5268475,916750,166292,93178,127293,38492,,[],species
933638,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,,Asplenium fontanum,5268475,916750,166292,93178,127293,38492,,[],species
934009,Archaeplastida,Streptophyta,Magnoliopsida,Liliales,Colchicaceae,Colchicum,,Colchicum multiflorum,5268475,916750,99252,258488,604247,1001037,,[],species
934123,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,,,Gongora,5268475,916750,99252,557124,568878,,,[],genus
934441,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,,Verbascum nigrum,5268475,916750,99252,23736,23713,264474,,[],species
934456,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophularia,,Scrophularia nodosa,5268475,916750,99252,23736,23713,1011772,,[],species
935514,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Styphnolobium,,Styphnolobium japonicum,5268475,916750,99252,956360,560323,243176,,[],species
935538,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Phalaenopsis,,Phalaenopsis mannii,5268475,916750,99252,557124,568878,108450,,[],species
935918,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,Euphorbia platyphyllos,5268475,916750,99252,429482,914245,109494,,[],species
936297,Archaeplastida,Streptophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,,Saxifraga tridactylites,5268475,916750,99252,648890,1035588,1035571,,[],species
936499,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Acanthaceae,Fittonia,,Fittonia albivenis,5268475,916750,99252,23736,504642,936501,,[],species
936953,Archaeplastida,Streptophyta,Magnoliopsida,Liliales,Liliaceae,Fritillaria,,Fritillaria kotschyana,5268475,916750,99252,258488,781605,172933,,[],species
937508,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Gesneriaceae,Streptocarpus,Streptocarpus ionanthus,Streptocarpus ionanthus subsp. grotei,5268475,916750,99252,23736,913162,123235,676058,['infraspecific'],subspecies
937538,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,,Linum grandiflorum,5268475,916750,99252,429482,1000257,1000260,,[],species
938215,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,,Dianthus viscidus,5268475,916750,99252,216628,317818,317820,,[],species
938653,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Agave,,Agave sisalana,5268475,916750,99252,557124,17704,973369,,[],species
938945,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Turbina,,Turbina corymbosa,5268475,916750,99252,1050255,494850,938941,,[],species
939031,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Trichocentrum,,Trichocentrum ascendens,5268475,916750,99252,557124,568878,38225,,[],species
940870,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,,Lupinus odoratus,5268475,916750,99252,956360,560323,878988,,[],species
